| 2020:06:24 22:24:12,249 | E | STDERR |   File "/home/nilanjan/projects/ohzas/server_v2/web/common.py", line 17, in <module>
| 2020:06:24 22:24:12,249 | E | STDERR |     from .med.medservicelist import MedServiceListHandler
| 2020:06:24 22:24:12,249 | E | STDERR |   File "/home/nilanjan/projects/ohzas/server_v2/web/med/medservicelist.py", line 734
| 2020:06:24 22:24:12,250 | E | STDERR |     profile = yield self.profile.find(
| 2020:06:24 22:24:12,250 | E | STDERR |                                      ^
| 2020:06:24 22:24:12,250 | E | STDERR | TabError: inconsistent use of tabs and spaces in indentation
| 2020:06:24 22:31:28,618 | I | root | ------
| 2020:06:24 22:31:28,649 | I | root | lib/log_util.py +50 <module> All Logs written in ./log/run.log
| 2020:06:24 22:31:29,104 | D | asyncio | Using selector: EpollSelector
| 2020:06:24 22:31:29,175 | I | root | lib/conn_util.py +39 MongoMixin MONGO	User Database has been Initialized!
| 2020:06:24 22:31:29,215 | I | root | lib/conn_util.py +58 MongoMixin MONGO	Service Database has been Initialized!
| 2020:06:24 22:31:29,255 | I | root | lib/conn_util.py +77 MongoMixin MONGO	Service Database has been Initialized!
| 2020:06:24 22:31:29,262 | E | STDERR | Traceback (most recent call last):
| 2020:06:24 22:31:29,263 | E | STDERR |   File "./run.py", line 4, in <module>
| 2020:06:24 22:31:29,263 | E | STDERR |     from common import *
| 2020:06:24 22:31:29,263 | E | STDERR |   File "/home/nilanjan/projects/ohzas/server_v2/web/common.py", line 17, in <module>
| 2020:06:24 22:31:29,263 | E | STDERR |     from .med.medservicelist import MedServiceListHandler
| 2020:06:24 22:31:29,263 | E | STDERR |   File "/home/nilanjan/projects/ohzas/server_v2/web/med/medservicelist.py", line 520
| 2020:06:24 22:31:29,263 | E | STDERR |     print serviceId
| 2020:06:24 22:31:29,263 | E | STDERR |                   ^
| 2020:06:24 22:31:29,263 | E | STDERR | SyntaxError: Missing parentheses in call to 'print'. Did you mean print(serviceId)?
| 2020:06:24 22:32:25,313 | I | root | ------
| 2020:06:24 22:32:25,343 | I | root | lib/log_util.py +50 <module> All Logs written in ./log/run.log
| 2020:06:24 22:32:25,786 | D | asyncio | Using selector: EpollSelector
| 2020:06:24 22:32:25,866 | I | root | lib/conn_util.py +39 MongoMixin MONGO	User Database has been Initialized!
| 2020:06:24 22:32:25,907 | I | root | lib/conn_util.py +58 MongoMixin MONGO	Service Database has been Initialized!
